15:05:40 [INFO] 毎日スクリーニング: 2026-09-25 (遡及1日)
15:05:40 [INFO] J-Quants: 上場銘柄情報を取得中...
15:05:42 [INFO] 財務データ取得: 2024-09-25 〜 2026-09-25
15:05:42 [INFO] J-Quants: 財務データを取得中 (2024-09-25 〜 2026-09-25)...
15:05:42 [INFO]   fin_summary バルク: 39 ファイル
15:05:43 [INFO]     バルクCSV列名: ['DiscDate', 'DiscTime', 'Code', 'DiscNo', 'DocType', 'CurPerType', 'CurPerSt', 'CurPerEn', 'CurFYSt', 'CurFYEn', 'NxtFYSt', 'NxtFYEn', 'Sales', 'OP', 'OdP', 'NP', 'EPS', 'DEPS', 'TA', 'Eq', 'EqAR', 'BPS', 'CFO', 'CFI', 'CFF', 'CashEq', 'Div1Q', 'Div2Q', 'Div3Q', 'DivFY', 'DivAnn', 'DivUnit', 'DivTotalAnn', 'PayoutRatioAnn', 'FDiv1Q', 'FDiv2Q', 'FDiv3Q', 'FDivFY', 'FDivAnn', 'FDivUnit', 'FDivTotalAnn', 'FPayoutRatioAnn', 'NxFDiv1Q', 'NxFDiv2Q', 'NxFDiv3Q', 'NxFDivFY', 'NxFDivAnn', 'NxFDivUnit', 'NxFPayoutRatioAnn', 'FSales2Q', 'FOP2Q', 'FOdP2Q', 'FNP2Q', 'FEPS2Q', 'NxFSales2Q', 'NxFOP2Q', 'NxFOdP2Q', 'NxFNp2Q', 'NxFEPS2Q', 'FSales', 'FOP', 'FOdP', 'FNP', 'FEPS', 'NxFSales', 'NxFOP', 'NxFOdP', 'NxFNp', 'NxFEPS', 'MatChgSub', 'SigChgInC', 'ChgByASRev', 'ChgNoASRev', 'ChgAcEst', 'RetroRst', 'ShOutFY', 'TrShFY', 'AvgSh', 'NCSales', 'NCOP', 'NCOdP', 'NCNP', 'NCEPS', 'NCTA', 'NCEq', 'NCEqAR', 'NCBPS', 'FNCSales2Q', 'FNCOP2Q', 'FNCOdP2Q', 'FNCNP2Q', 'FNCEPS2Q', 'NxFNCSales2Q', 'NxFNCOP2Q', 'NxFNCOdP2Q', 'NxFNCNP2Q', 'NxFNCEPS2Q', 'FNCSales', 'FNCOP', 'FNCOdP', 'FNCNP', 'FNCEPS', 'NxFNCSales', 'NxFNCOP', 'NxFNCOdP', 'NxFNCNP', 'NxFNCEPS', 'ShEq', 'NCShEq', 'ROE', 'NCROE']
15:05:43 [INFO]     1/39: fins/summary/historical/2024/fins_summary_202410.csv.gz (1323件)
15:05:44 [INFO]     2/39: fins/summary/historical/2024/fins_summary_202411.csv.gz (3009件)
15:05:45 [INFO]     3/39: fins/summary/historical/2024/fins_summary_202412.csv.gz (417件)
15:05:46 [INFO]     4/39: fins/summary/historical/2025/fins_summary_202501.csv.gz (1176件)
15:05:47 [INFO]     5/39: fins/summary/historical/2025/fins_summary_202502.csv.gz (3135件)
15:05:48 [INFO]     6/39: fins/summary/historical/2025/fins_summary_202503.csv.gz (580件)
15:05:49 [INFO]     7/39: fins/summary/historical/2025/fins_summary_202504.csv.gz (1119件)
15:05:50 [INFO]     8/39: fins/summary/historical/2025/fins_summary_202505.csv.gz (3277件)
15:05:51 [INFO]     9/39: fins/summary/historical/2025/fins_summary_202506.csv.gz (425件)
15:05:52 [INFO]     10/39: fins/summary/historical/2025/fins_summary_202507.csv.gz (1246件)
15:05:54 [INFO]     11/39: fins/summary/historical/2025/fins_summary_202508.csv.gz (2790件)
15:05:55 [INFO]     12/39: fins/summary/historical/2025/fins_summary_202509.csv.gz (452件)
15:05:56 [INFO]     13/39: fins/summary/historical/2025/fins_summary_202510.csv.gz (1372件)
15:05:57 [INFO]     14/39: fins/summary/historical/2025/fins_summary_202511.csv.gz (2907件)
15:05:58 [INFO]     15/39: fins/summary/historical/2025/fins_summary_202512.csv.gz (410件)
15:05:59 [INFO]     16/39: fins/summary/historical/2026/fins_summary_202601.csv.gz (1097件)
15:06:00 [INFO]     17/39: fins/summary/historical/2026/fins_summary_202602.csv.gz (3023件)
15:06:01 [INFO]     18/39: fins/summary/historical/2026/fins_summary_202603.csv.gz (613件)
15:06:02 [INFO]     19/39: fins/summary/historical/2026/fins_summary_202604.csv.gz (1087件)
15:06:03 [INFO]     20/39: fins/summary/historical/2026/fins_summary_202605.csv.gz (3207件)
15:06:05 [INFO]     21/39: fins/summary/historical/2026/fins_summary_202606.csv.gz (459件)
15:06:06 [INFO]     22/39: fins/summary/historical/2026/fins_summary_202607.csv.gz (1226件)
15:06:07 [INFO]     23/39: fins/summary/historical/2026/fins_summary_202608.csv.gz (2775件)
15:06:08 [INFO]     24/39: fins/summary/live/fins_summary_20260901.csv.gz (9件)
15:06:09 [INFO]     25/39: fins/summary/live/fins_summary_20260902.csv.gz (2件)
15:06:10 [INFO]     26/39: fins/summary/live/fins_summary_20260903.csv.gz (2件)
15:06:11 [INFO]     27/39: fins/summary/live/fins_summary_20260904.csv.gz (16件)
15:06:12 [INFO]     28/39: fins/summary/live/fins_summary_20260907.csv.gz (4件)
15:06:13 [INFO]     29/39: fins/summary/live/fins_summary_20260908.csv.gz (12件)
15:06:14 [INFO]     30/39: fins/summary/live/fins_summary_20260909.csv.gz (16件)
15:06:15 [INFO]     31/39: fins/summary/live/fins_summary_20260910.csv.gz (40件)
15:06:16 [INFO]     32/39: fins/summary/live/fins_summary_20260911.csv.gz (87件)
15:06:17 [INFO]     33/39: fins/summary/live/fins_summary_20260914.csv.gz (103件)
15:06:18 [INFO]     34/39: fins/summary/live/fins_summary_20260915.csv.gz (11件)
15:06:19 [INFO]     35/39: fins/summary/live/fins_summary_20260916.csv.gz (11件)
15:06:20 [INFO]     36/39: fins/summary/live/fins_summary_20260917.csv.gz (15件)
15:06:21 [INFO]     37/39: fins/summary/live/fins_summary_20260918.csv.gz (20件)
15:06:22 [INFO]     38/39: fins/summary/live/fins_summary_20260924.csv.gz (19件)
15:06:23 [INFO]     39/39: fins/summary/live/fins_summary_20260925.csv.gz (19件)
15:06:27 [INFO] 日足データ取得: 2026-06-27 〜 2026-09-25
15:06:27 [INFO] J-Quants: 日足データを取得中 (2026-06-27 〜 2026-09-25)...
15:06:27 [INFO]   eq_bars_daily バルク: 18 ファイル
15:06:28 [INFO]     バルクCSV列名: ['Date', 'Code', 'O', 'H', 'L', 'C', 'UL', 'LL', 'Vo', 'Va', 'AdjFactor', 'MktCap', 'ExRT']
15:06:28 [INFO]     1/18: equities/bars/daily/historical/2026/equities_bars_daily_202607.csv.gz (97696件)
15:06:30 [INFO]     2/18: equities/bars/daily/historical/2026/equities_bars_daily_202608.csv.gz (88870件)
15:06:31 [INFO]     3/18: equities/bars/daily/live/equities_bars_daily_20260901.csv.gz (4441件)
15:06:32 [INFO]     4/18: equities/bars/daily/live/equities_bars_daily_20260902.csv.gz (4440件)
15:06:33 [INFO]     5/18: equities/bars/daily/live/equities_bars_daily_20260903.csv.gz (4440件)
15:06:34 [INFO]     6/18: equities/bars/daily/live/equities_bars_daily_20260904.csv.gz (4441件)
15:06:34 [INFO]     7/18: equities/bars/daily/live/equities_bars_daily_20260907.csv.gz (4441件)
15:06:35 [INFO]     8/18: equities/bars/daily/live/equities_bars_daily_20260908.csv.gz (4442件)
15:06:37 [INFO]     9/18: equities/bars/daily/live/equities_bars_daily_20260909.csv.gz (4444件)
15:06:38 [INFO]     10/18: equities/bars/daily/live/equities_bars_daily_20260910.csv.gz (4444件)
15:06:39 [INFO]     11/18: equities/bars/daily/live/equities_bars_daily_20260911.csv.gz (4447件)
15:06:40 [INFO]     12/18: equities/bars/daily/live/equities_bars_daily_20260914.csv.gz (4446件)
15:06:41 [INFO]     13/18: equities/bars/daily/live/equities_bars_daily_20260915.csv.gz (4446件)
15:06:42 [INFO]     14/18: equities/bars/daily/live/equities_bars_daily_20260916.csv.gz (4447件)
15:06:43 [INFO]     15/18: equities/bars/daily/live/equities_bars_daily_20260917.csv.gz (4448件)
15:06:44 [INFO]     16/18: equities/bars/daily/live/equities_bars_daily_20260918.csv.gz (4451件)
15:06:45 [INFO]     17/18: equities/bars/daily/live/equities_bars_daily_20260924.csv.gz (4450件)
15:06:46 [INFO]     18/18: equities/bars/daily/live/equities_bars_daily_20260925.csv.gz (4451件)
15:06:52 [INFO]   黒字転換補正: 745 件
15:06:52 [INFO] 開示全件CSV: /home/runner/work/stock-analysts/stock-analysts/results/daily_disclosed_2026-09-25.csv (4 件)
15:06:52 [INFO]   黒字転換補正: 745 件
15:06:52 [INFO]   決算成長率 >= 20%: 6039 件
15:06:52 [INFO]   ROE >= 12%: 6039 → 1033 件
15:06:52 [INFO]   時価総額 300億〜3000億円: 0 件
15:06:53 [INFO]   始値カラム: AdjustmentOpen
15:06:58 [INFO]   RSI14: 0 件に付与
15:06:58 [INFO]   最終候補: 0 件
15:06:58 [INFO] 条件に合致する銘柄なし。通知しません。
15:06:58 [INFO] 保有ポジションなし。スキップ。
