Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
13760,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,1749000000.0,1511000000.0,67733000000.0,1325000000.0,26745000000.0,0.494,2000000000.0,0.15751158173395097,64508000000.0,0.04999379921870162,0.025821977470361565,0.04954197046176855,0.00494,0.14351057747284157,TOPIX Small 2
13770,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,13122000000.0,12257000000.0,104280000000.0,12163000000.0,178983000000.0,0.823,13500000000.0,0.07057191808762342,92920000000.0,0.12225570383125262,0.1258342922899885,0.06795617460876173,0.00823,0.028806584362139898,TOPIX Small 1
14010,2026-07-13,2026-05-31,FYFinancialStatements_NonConsolidated_JP,FY,721000000.0,626000000.0,5029000000.0,566000000.0,3880000000.0,0.759,,0.15175718849840258,4713000000.0,0.0670485890091237,0.14336846291509248,0.14587628865979382,0.00759,,-
21860,2026-07-13,2026-05-31,1QFinancialStatements_Consolidated_JP,1Q,168000000.0,165000000.0,2502000000.0,101000000.0,4508000000.0,0.721,,0.018181818181818077,2197000000.0,0.13882567137004997,0.0671462829736211,0.022404614019520853,0.007209999999999999,,-
23050,2026-07-13,2026-05-31,1QFinancialStatements_Consolidated_JP,1Q,229000000.0,211000000.0,7546000000.0,111000000.0,29538000000.0,0.766,,0.08530805687203791,7844000000.0,-0.03799082100968898,0.030347203816591572,0.0037578712167377617,0.00766,,TOPIX Small 2
23380,2026-07-13,2026-05-31,1QFinancialStatements_Consolidated_JP,1Q,-178000000.0,-103000000.0,56000000.0,-112000000.0,-424000000.0,-0.258,,0.7281553398058251,76000000.0,-0.26315789473684215,-3.1785714285714284,0.2641509433962264,-0.0025800000000000003,,-
24620,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,2981000000.0,2951000000.0,67315000000.0,2328000000.0,19006000000.0,0.461,3500000000.0,0.0101660454083361,62336000000.0,0.0798735882956878,0.044284334843645544,0.12248763548353152,0.00461,0.17410265011741033,TOPIX Small 2
27360,2026-07-13,2026-05-31,3QFinancialStatements_Consolidated_JP,3Q,87000000.0,149000000.0,7483000000.0,21000000.0,1714000000.0,0.205,,-0.4161073825503355,6873000000.0,0.0887530918085262,0.011626353066951757,0.012252042007001166,0.0020499999999999997,,-
30750,2026-07-13,2026-05-31,1QFinancialStatements_NonConsolidated_JP,1Q,787000000.0,535000000.0,6338000000.0,507000000.0,9110000000.0,0.703,,0.47102803738317767,5719000000.0,0.10823570554292705,0.12417166298516882,0.05565312843029638,0.00703,,-
30800,2026-07-13,2026-05-31,1QFinancialStatements_Consolidated_JP,1Q,153000000.0,147000000.0,7399000000.0,85000000.0,5851000000.0,0.512,,0.04081632653061229,6870000000.0,0.07700145560407567,0.020678470063522098,0.014527431208340455,0.00512,,-
30870,2026-07-13,2026-05-31,1QFinancialStatements_Consolidated_JP,1Q,3770000000.0,2787000000.0,42528000000.0,2724000000.0,107094000000.0,0.765,,0.35270900609974887,39315000000.0,0.08172453262113688,0.08864747930775019,0.025435598632976637,0.0076500000000000005,,TOPIX Small 1
31480,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,23970000000.0,22625000000.0,497128000000.0,16990000000.0,154321000000.0,0.604,25300000000.0,0.05944751381215463,457093000000.0,0.08758611486065204,0.04821695820794644,0.1100951911923847,0.00604,0.05548602419691284,TOPIX Small 1
31680,2026-07-13,2026-05-31,3QFinancialStatements_Consolidated_JP,3Q,3401000000.0,-375630000.0,73491000000.0,2278000000.0,12005000000.0,0.335,,9.99,61992298000.0,0.1854859776290274,0.046277775509926386,0.1897542690545606,0.00335,,-
32360,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,3247000000.0,3334000000.0,29465000000.0,1879000000.0,17117000000.0,0.293,3549000000.0,-0.02609478104379126,27839000000.0,0.05840727037609117,0.110198540641439,0.10977390897937722,0.00293,0.09300893132121968,-
33490,2026-07-13,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,42353000000.0,40404000000.0,1099583000000.0,32046000000.0,283700000000.0,0.476,43000000000.0,0.04823779823779817,1011390000000.0,0.08719979434243963,0.038517328841933714,0.1129573493126542,0.0047599999999999995,0.015276367671711588,TOPIX Mid400
35360,2026-07-13,2026-05-31,3QFinancialStatements_Consolidated_JP,3Q,214000000.0,155000000.0,9530000000.0,262000000.0,2460000000.0,0.146,,0.38064516129032255,9254000000.0,0.02982494056624163,0.022455403987408185,0.10650406504065041,0.00146,,-
39070,2026-07-13,2026-05-31,2QFinancialStatements_NonConsolidated_JP,2Q,-185000000.0,121000000.0,1909000000.0,-220000000.0,1601000000.0,0.624,,-2.5289256198347108,2213000000.0,-0.13737008585630361,-0.09690937663698271,-0.13741411617738913,0.00624,,-
